"","site_location_name","Grass","Shrub","Tree","vegetation_type"
"159","NTAGFU0015",40.6,9.7,8.8,"Grass"
"160","NTAGFU0016",35.8,18.7,0.8,"Grass"
"161","NTAGFU0017",37.9,28.6,4.6,"Grass"
"162","NTAGFU0018",22.6,0,37.7,"Tree"
"163","NTAGFU0019",39.4,8.6,11.6,"Grass"
"164","NTAGFU0020",39.1,35.3,0.8,"Grass"
"165","NTAGFU0021",25.7,23.9,5.9,"Grass"
"166","NTAGFU0022",32.6,0.1,13.4,"Grass"
"167","NTAGFU0023",19.1,43.9,0.9,"Shrub"
"168","NTAGFU0024",29.8,13.2,4.6,"Grass"
"169","NTAGFU0025",23.5,54,0.4,"Shrub"
"170","NTAGFU0026",47.6,1.9,17.1,"Grass"
"171","NTAGFU0027",29.5,17.4,8,"Grass"
"172","NTAGFU0028",29.7,8.7,13.3,"Grass"
"173","NTAGFU0029",54.4,1.6,12.5,"Grass"
"174","NTAGFU0030",16.5,2.2,48.8,"Tree"
"175","NTAGFU0031",21.1,29.2,2,"Shrub"
"176","NTAGFU0032",30.1,15.6,0.2,"Grass"
"177","NTAGFU0033",2,1.2,68.8,"Tree"
"178","NTAGFU0034",8.6,14.9,20.1,"Tree"
"179","NTAGFU0035",18.5,4.6,18.4,"Grass"
"180","NTAGFU0036",13,1.4,41.1,"Tree"
"181","NTAGFU0037",35.6,12.9,17.6,"Grass"
"182","NTAGFU0038",12.6,2.3,49.9,"Tree"
"183","NTAGFU0039",58.3,4.2,10.6,"Grass"
"184","NTAGFU0040",15.4,35,24.1,"Shrub"
"185","NTAGFU0041",45.8,2.8,23.7,"Grass"
"186","NTAMAC0001",24.95,12.85,1.4,"Grass"
"187","NTAMAC0002",6.85,0.7,18.9,"Tree"
"188","NTAMAC0003",39.15,3.35,1.2,"Grass"
"189","NTAMGD0001",18.9,12.2,14.8,"Grass"
"190","NTAMGD0002",33.8,0.4,0,"Grass"
"191","NTAMGD0003",25.3,7.4,8,"Grass"
"192","NTAMGD0004",40.7,4.2,3.7,"Grass"
"193","NTAMGD0005",22.9,22.1,6.3,"Grass"
"194","NTAPCK0001",22.3,25.1,25.8,"Tree"
"195","NTAPCK0002",27.8,8.9,25.1,"Grass"
"196","NTAPCK0003",35.85,11.55,34.2,"Grass"
"197","NTAPCK0004",40.6,9.7,30.95,"Grass"
"198","NTAPCK0005",3.1,5.1,17.6,"Tree"
"199","NTAPCK0006",55.65,12.4,9.45,"Grass"
"200","NTAPCK0007",39.65,11.15,31.45,"Grass"
"201","NTAPCK1009",50.2,18.9,14.6,"Grass"
"202","NTAPCK1010",22.7,23.1,28.1,"Tree"
"203","NTAPCK1011",24.6,11.2,34.8,"Tree"
"204","NTAPCK1012",17.6,12.9,44.1,"Tree"
"205","NTAPCK2013",26.6,13.3,41.9,"Tree"
"206","NTAPCK2014",40.7,11.7,30.4,"Grass"
"207","NTASSD0001",31.5,12.7,0,"Grass"
"208","NTASSD0003",19.6,13.1,0,"Grass"
"209","NTASSD0004",15.2,16.7,0,"Shrub"
"210","NTASSD0005",16.5,4,0,"Grass"
"211","NTASSD0006",15.2,1,0,"Grass"
"212","NTASSD0007",20.2,1.6,0,"Grass"
"213","NTASSD0008",16,7.1,0,"Grass"
"214","NTASSD0009",18.8,3.8,0,"Grass"
"215","NTASSD0010",20.3,2.6,0,"Grass"
"216","NTASSD0011",1.2,0.1,0,"Grass"
"217","NTASSD0012",6.7,0.1,0,"Grass"
"218","NTASSD0013",1,1.2,0,"Shrub"
"219","NTASSD0014",5,3.5,0,"Grass"
"220","NTASSD0015",7.4,5.3,1.3,"Grass"
"221","NTASSD0016",1.8,1.7,0,"Grass"
"222","NTASSD0017",2.1,8.1,0,"Shrub"
"223","NTASSD0018",5.8,0,0,"Grass"
"224","NTASSD0019",2.2,5.3,1.4,"Shrub"
"225","NTASTU0001",14.8,1.5,14.2,"Grass"
"226","NTASTU0002",26.5,2.4,19.8,"Grass"
"227","NTASTU0003",45,4.2,18,"Grass"
"228","NTASTU0004",49.5,5.5,19.3,"Grass"
"229","NTASTU0005",28.3,6.3,21.5,"Grass"
"230","NTATAN0001",10.7,34,1,"Shrub"
"231","NTATAN0002",17.6,29.7,1.2,"Shrub"
"232","NTATAN0003",27.5,5,0.8,"Grass"
"233","NTATAN0004",24.5,1.8,0.7,"Grass"
"234","NTTDAB0001",10.6,17.3,31.7,"Tree"
"235","NTTDAC0001",26.2,13.9,37.7,"Tree"
"236","NTTDMR0001",31.5,15,3.9,"Grass"
"237","NTTDMR0002",39.6,2.9,7,"Grass"
"238","NTTDMR0003",43,4.8,4.4,"Grass"
"239","NTTMGD0001",37.1,2.7,9.9,"Grass"
"240","NTTPCK0001",24.8,12.9,46.8,"Tree"
"241","NTTSTU0001",22.8,2.5,50,"Tree"
"242","QDABBN0001",5.4,26.2,33.7,"Tree"
"243","QDABBN0002",7.3,6.5,42.8,"Tree"
"244","QDABBS0001",82.5,0.8,0,"Grass"
"245","QDABBS0002",51.5,7.9,0,"Grass"
"246","QDABBS0003",17.4,7.9,53.1,"Tree"
"247","QDABBS0004",32.8,4.3,29,"Grass"
"248","QDABBS0005",27.9,2.5,31.1,"Tree"
"249","QDABBS0006",45.4,0.7,21.6,"Grass"
"250","QDABBS0007",26.7,5.3,14.7,"Grass"
"251","QDABBS0008",56.8,11.1,9,"Grass"
"252","QDABBS0009",22,8.4,38.7,"Tree"
"253","QDABBS0010",14.5,34.7,38.7,"Tree"
"254","QDACHC0001",2,1.3,7.5,"Tree"
"255","QDACHC0002",0.1,8,10.9,"Tree"
"256","QDACHC0003",5.3,2.4,10.6,"Tree"
"257","QDACHC0004",13.1,3.4,7.6,"Grass"
"258","QDACHC0005",7.1,0.8,1,"Grass"
"259","QDACHC0006",9.8,4.2,0,"Grass"
"260","QDACHC0007",7,4.2,0,"Grass"
"261","QDACYP0001",0.9,62.3,0.5,"Shrub"
"262","QDACYP0002",13.8,54.2,1.1,"Shrub"
"263","QDACYP0003",14.4,69.9,0.7,"Shrub"
"264","QDACYP0004",29.5,6.8,26,"Grass"
"265","QDACYP0005",36.9,6.2,28.4,"Grass"
"266","QDACYP0006",37.1,7.3,27.4,"Grass"
"267","QDACYP0007",31.1,8.9,41.6,"Tree"
"268","QDACYP0008",16.9,15.9,29.9,"Tree"
"269","QDACYP0009",38.6,4.7,32.6,"Grass"
"270","QDACYP0010",86.3,3,0.2,"Grass"
"271","QDACYP0011",42.5,4.1,30.5,"Grass"
"272","QDACYP0012",0.3,21.5,72.3,"Tree"
"273","QDACYP0013",39.8,3.1,31.5,"Grass"
"274","QDACYP0014",40.7,3.9,35.6,"Grass"
"275","QDACYP0015",42.6,0.4,24.8,"Grass"
"276","QDACYP0016",7.5,18.1,54.1,"Tree"
"277","QDACYP0017",15.4,38.8,21.8,"Shrub"
"278","QDACYP0018",9.8,30.6,33.8,"Tree"
"279","QDACYP0019",26.7,36.1,4.7,"Shrub"
"280","QDACYP0020",8,20.4,39.3,"Tree"
"281","QDACYP0021",16.8,7.7,48.3,"Tree"
"282","QDACYP0022",29.8,5,37.2,"Tree"
"283","QDACYP0023",28.9,4,41.5,"Tree"
"284","QDACYP0024",19.2,3.1,48.4,"Tree"
"285","QDADEU0001",67,0.8,4.5,"Grass"
"286","QDADEU0002",57.4,0.9,3.5,"Grass"
"287","QDADEU0003",17.3,24.9,17.5,"Shrub"
"288","QDADEU0004",25.6,24.1,14.7,"Grass"
"289","QDADEU0005",33.6,18.9,4.8,"Grass"
"290","QDADEU0006",25.6,12.7,14.9,"Grass"
"291","QDAEIU0001",56.3,0.4,0,"Grass"
"292","QDAEIU0002",46.2,0.1,7.6,"Grass"
"293","QDAEIU0003",64.85,1.05,7.15,"Grass"
"294","QDAEIU0004",69.5,0.2,10.3,"Grass"
"295","QDAEIU0005",6.2,0,0.3,"Grass"
"296","QDAEIU0006",13.1,4.25,45.35,"Tree"
"297","QDAEIU0007",11.95,5.5,42,"Tree"
"298","QDAEIU0008",32.6,28.7,6.3,"Grass"
"299","QDAEIU0009",70.9,5.2,3.5,"Grass"
"300","QDAEIU0010",23,13.4,27.9,"Tree"
"301","QDAGUP0001",12.4,19.7,11.9,"Shrub"
"302","QDAGUP0002",8.1,6.7,16.2,"Tree"
"303","QDAGUP0003",6.2,8.5,17.4,"Tree"
"304","QDAGUP0004",2.9,5,13.4,"Tree"
"305","QDAGUP0005",0.2,16.8,24.4,"Tree"
"306","QDAGUP0006",0.2,10.6,12.2,"Tree"
"307","QDAGUP0007",42.4,0.2,0,"Grass"
"308","QDAGUP0008",15.2,15.7,12.4,"Shrub"
"309","QDAGUP0009",47.2,0.4,0.4,"Grass"
"310","QDAGUP0010",4.2,19.7,3.1,"Shrub"
"311","QDAGUP0011",19,11.3,19.1,"Tree"
"312","QDAGUP0012",20.9,1.8,2.6,"Grass"
"313","QDAGUP0013",24.3,0.2,0.2,"Grass"
"314","QDAGUP0014",47.5,0,0,"Grass"
"315","QDAGUP0015",62,1,0,"Grass"
"316","QDAGUP0016",40.4,3.2,9,"Grass"
"317","QDAGUP0017",39.1,5.9,0,"Grass"
"318","QDAGUP0018",25.2,5.8,21.3,"Grass"
"319","QDAGUP0019",18.8,10.5,0,"Grass"
"320","QDAGUP0020",48.2,8.3,0,"Grass"
"321","QDAGUP0021",3.9,13.8,18.6,"Tree"
"322","QDAGUP0022",21.7,13.3,0,"Grass"
"323","QDAGUP0023",58.2,0,0,"Grass"
"324","QDAGUP0024",9.6,8.5,0,"Grass"
"325","QDAGUP0025",25,6.1,13.3,"Grass"
"326","QDAGUP0026",36.2,6,4.8,"Grass"
"327","QDAGUP0027",0.2,7.9,47.6,"Tree"
"328","QDAGUP0028",0.9,23.1,25.6,"Tree"
"329","QDAGUP0029",50.5,4.45,6.25,"Grass"
"330","QDAGUP0030",18.6,7,7.4,"Grass"
"331","QDAGUP0031",46.55,3,12.15,"Grass"
"332","QDAGUP0032",77.1,4,16.9,"Grass"
"333","QDAMGD0001",31.5,1,0,"Grass"
"334","QDAMGD0002",20.4,3.7,13.8,"Grass"
"335","QDAMGD0003",40.8,0,0,"Grass"
"336","QDAMGD0004",10.9,6.4,9.2,"Grass"
"337","QDAMGD0005",22.3,3.9,12.6,"Grass"
"338","QDAMGD0006",24.3,0,0,"Grass"
"339","QDAMGD0007",25.3,0.5,0.8,"Grass"
"340","QDAMGD0008",20.9,0,0,"Grass"
"341","QDAMGD0009",7.1,2.5,0,"Grass"
"342","QDAMGD0010",7.7,12,13.4,"Tree"
"343","QDAMGD0011",13.8,0.3,0,"Grass"
"344","QDAMGD0012",1.8,16.6,4.1,"Shrub"
"345","QDAMGD0013",13.5,0.2,0,"Grass"
"346","QDAMGD0014",14.3,0,0,"Grass"
"347","QDAMGD0015",3.4,1.8,9.2,"Tree"
"348","QDAMGD0016",7,2.9,8.4,"Tree"
"349","QDAMGD0017",19.9,0.1,0,"Grass"
"350","QDAMGD0018",37.6,0,0,"Grass"
"351","QDAMGD0019",18.7,0,0,"Grass"
"352","QDAMGD0020",5.3,0.4,16.4,"Tree"
"353","QDAMGD0021",18.1,0,0,"Grass"
"354","QDAMGD0022",16.8,0.3,0,"Grass"
"355","QDAMGD0023",32.4,6.8,14.9,"Grass"
"356","QDAMGD0024",5.9,0.4,1.2,"Grass"
"357","QDAMGD0025",0.5,4.9,22.4,"Tree"
"358","QDAMGD0026",1,4,16.1,"Tree"
"359","QDAMGD0027",31,2,0.1,"Grass"
"360","QDAMGD0028",39.7,0.6,0,"Grass"
"361","QDAMII0001",4.7,2.4,2,"Grass"
"362","QDAMII0002",20.1,3.3,3.3,"Grass"
"363","QDAMUL0001",0.9,15.3,43.7,"Tree"
"364","QDAMUL0002",0,0,48.8,"Tree"
"365","QDAMUL0003",2.8,6.1,44.6,"Tree"
"366","QDASEQ0001",5.1,2.9,81.4,"Tree"
"367","QDASEQ0002",93.8,2.6,0,"Grass"
"368","QDASEQ0003",5,2.4,80.6,"Tree"
"369","QDASEQ0004",5.1,6.2,72.4,"Tree"
"370","QDASSD0001",41.475,2.175,0.3,"Grass"
"371","QDASSD0002",24.05,5.625,2.425,"Grass"
"372","QDASSD0003",20.65,6.35,6.85,"Grass"
"373","QDASSD0004",49.925,2.4,0,"Grass"
"374","QDASSD0005",8.96666666666667,10.5333333333333,9.36666666666667,"Shrub"
"375","QDASSD0006",29.75,6,0,"Grass"
"376","QDASSD0007",15.575,4.55,10.725,"Grass"
"377","QDASSD0008",37.5,10.1666666666667,0.0333333333333333,"Grass"
"378","QDASSD0009",32.875,1.75,20.05,"Grass"
"379","QDASSD0010",17.0666666666667,8.2,8.53333333333333,"Grass"
"380","QDASSD0011",6.1,4.475,9.025,"Tree"
"381","QDASSD0012",22.35,10.375,1.3,"Grass"
"382","QDASSD0013",12.65,11.9,4.1,"Grass"
"383","QDASSD0014",26.45,4.575,1.6,"Grass"
"384","QDASSD0015",20.9333333333333,8.5,0.8,"Grass"
"385","SAABHC0001",0.25,23.4,0.2,"Shrub"
"386","SAABHC0002",0.05,15.05,4.8,"Shrub"
"387","SAABHC0003",5,8.6,0,"Shrub"
"388","SAABHC0004",0,21.35,23.3,"Tree"
"389","SAABHC0005",0.1,9.4,0,"Shrub"
"390","SAABHC0006",0.1,7.4,0,"Shrub"
"391","SAACHC0003",11.4,7,0,"Grass"
"392","SAACHC0004",16.4,3.3,0,"Grass"
"393","SAACHC0005",1.6,5,6.8,"Tree"
"394","SAACHC0006",3.7,3.7,8.1,"Tree"
"395","SAACHC0008",5.5,10,2.6,"Shrub"
"396","SAACHC0009",7.7,11.8,4.3,"Shrub"
"397","SAACHC0010",5.1,15.4,1.3,"Shrub"
"398","SAACHC0011",4.2,18.7,1.9,"Shrub"
"399","SAACHC0012",13.1,9.2,0,"Grass"
"400","SAACHC0014",13.3,11.4,0.3,"Grass"
"401","SAAEYB0001",33.7,39,0,"Shrub"
"402","SAAEYB0002",12.2,32.8,15.9,"Shrub"
"403","SAAEYB0003",9.3,30.9,44.4,"Tree"
"404","SAAEYB0004",2.4,41.2,35.6,"Shrub"
"405","SAAEYB0005",7,28.1,38.9,"Tree"
"406","SAAEYB0006",1,39.8,43.4,"Tree"
"407","SAAEYB0007",5.2,32.4,33.9,"Tree"
"408","SAAEYB0008",4.1,48.1,27.1,"Shrub"
"409","SAAEYB0009",2.3,29.9,33.6,"Tree"
"410","SAAEYB0010",4.8,44.9,32.6,"Shrub"
"411","SAAEYB0011",1.1,40.4,49,"Tree"
"412","SAAEYB0012",8.7,40.6,31.3,"Shrub"
"413","SAAEYB0013",0.6,55.9,29.6,"Shrub"
"414","SAAEYB0015",4.5,37.8,35,"Shrub"
"415","SAAEYB0016",1.4,13.8,59.8,"Tree"
"416","SAAEYB0021",17.1,38.9,0,"Shrub"
"417","SAAEYB0022",3.7,43.2,6.1,"Shrub"
"418","SAAEYB0023",5.9,34.4,0.6,"Shrub"
"419","SAAEYB0024",11.8,45.9,0,"Shrub"
"420","SAAEYB0025",17.6,45.1,2.8,"Shrub"
"421","SAAEYB0026",13.6,49.4,0.6,"Shrub"
"422","SAAEYB0027",5.1,65,0,"Shrub"
"423","SAAEYB0028",6.1,13.1,0,"Shrub"
"424","SAAEYB0029",13.3,5.4,0,"Grass"
"425","SAAEYB0030",0.8,22.5,13.1,"Shrub"
"426","SAAEYB0031",0,25.1,5.7,"Shrub"
"427","SAAEYB0032",16.5,6.2,5.8,"Grass"
"428","SAAEYB0033",0.1,4.7,25.4,"Tree"
"429","SAAEYB0035",4.9,16,25.5,"Tree"
"430","SAAEYB0036",3.7,18.4,0,"Shrub"
"431","SAAFLB0003",26.95,2.3,45.6,"Tree"
"432","SAAFLB0004",18.3,7.1,36.1,"Tree"
"433","SAAFLB0005",8.1,44.4,0,"Shrub"
"434","SAAFLB0006",1.4,60.5,21.1,"Shrub"
"435","SAAFLB0007",12.1,8.8,0,"Grass"
"436","SAAFLB0008",1.6,16.4,19.6,"Tree"
"437","SAAFLB0030",11.1,7.65,0,"Grass"
"438","SAAFLB0031",4.6,6.55,0,"Shrub"
"439","SAAGAW0001",0.2,17.6,16.2,"Shrub"
"440","SAAGAW0002",2.7,21.5,0.3,"Shrub"
"441","SAAGAW0003",0,23,10.3,"Shrub"
"442","SAAGAW0004",2.4,7.2,7.6,"Tree"
"443","SAAGAW0005",0.4,23.4,1.2,"Shrub"
"444","SAAGAW0006",5.2,12.6,2.8,"Shrub"
"445","SAAGAW0007",1.1,13.6,4.9,"Shrub"
"446","SAAGAW0008",3.2,13.7,0,"Shrub"
"447","SAAGVD0001",14.3,13.9,0,"Grass"
"448","SAAGVD0002",20.2,11.2,0,"Grass"
"449","SAAGVD0003",61.5,7.3,0,"Grass"
"450","SAAGVD0004",5,16.1,1.6,"Shrub"
"451","SAAKAN0001",5.55,18.95,51.55,"Tree"
"452","SAAKAN0002",11.2,48.2,21.5,"Shrub"
"453","SAAKAN0003",7.4,12.15,34.7,"Tree"
"454","SAAKAN0004",0.45,40.2,20.8,"Shrub"
"455","SAAKAN0005",5.55,43.45,10.85,"Shrub"
"456","SAAKAN0006",8.6,24.45,12.1,"Shrub"
"457","SAAKAN0007",14.1,42.25,8.9,"Shrub"
"458","SAAKAN0008",5.55,67.9,14.55,"Shrub"
"459","SAAKAN0009",2.9,62.65,14.65,"Shrub"
"460","SAAKAN0010",3.7,43.35,24.8,"Shrub"
"461","SAAKAN0011",4.65,18.5,59.55,"Tree"
"462","SAAKAN0012",1.25,86.4,0,"Shrub"
"463","SAAKAN0013",1.4,15.7,64.8,"Tree"
"464","SAAMDD0007",22.35,10.4,0,"Grass"
"465","SAAMDD0008",0.3,2.95,42.2,"Tree"
"466","SAAMDD0009",19,9.65,10.45,"Grass"
